var,state,year,value,industry_full,industry_code,industry_group
Sheep and Beef cattle,base,2032,10.2483,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2033,10.382,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2034,10.5128,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2035,10.6409,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2036,10.7666,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2037,10.8903,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2038,11.0125,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2039,11.1333,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2040,11.2529,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2041,11.3714,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2042,11.4889,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2043,11.6054,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2044,11.7211,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2045,11.8359,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2046,11.9501,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2047,12.0636,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2048,12.1766,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2049,12.2892,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Sheep and Beef cattle,base,2050,12.4015,1. Sheep and Beef cattle,1,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2017,8.1014,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2018,8.0609,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2019,7.7793,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2020,8.3868,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2021,7.3319,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2022,7.2943,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2023,7.4842,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2024,7.7451,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2025,7.5732,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2026,7.8177,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2027,7.9292,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2028,8.05,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2029,8.1641,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2030,8.2732,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2031,8.3781,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2032,8.4794,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2033,8.5775,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2034,8.6728,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2035,8.7654,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2036,8.8556,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2037,8.9436,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2038,9.0299,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2039,9.1145,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2040,9.1977,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2041,9.2793,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2042,9.3596,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2043,9.4385,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2044,9.5162,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2045,9.5926,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2046,9.6679,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2047,9.7421,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2048,9.8153,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2049,9.8875,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Grains production,base,2050,9.9588,2. Grains production,2,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2017,0.9979,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2018,1.0038,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2019,0.9749,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2020,1.0059,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2021,0.894,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2022,0.9176,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2023,0.9367,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2024,0.9677,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2025,0.9811,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2026,1.0074,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2027,1.0236,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2028,1.0396,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2029,1.0547,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2030,1.0689,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2031,1.0825,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2032,1.0957,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2033,1.1086,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2034,1.1211,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2035,1.1335,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2036,1.1456,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2037,1.1577,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2038,1.1697,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2039,1.1816,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2040,1.1936,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2041,1.2055,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2042,1.2174,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2043,1.2294,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2044,1.2414,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2045,1.2534,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2046,1.2654,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2047,1.2775,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2048,1.2897,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2049,1.3019,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Dairy cattle,base,2050,1.3143,3. Dairy cattle,3,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2017,6.6309,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2018,6.7303,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2019,6.5858,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2020,6.6682,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2021,6.2585,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2022,6.3487,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2023,6.3279,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2024,6.4038,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2025,6.5387,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2026,6.6094,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2027,6.6927,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2028,6.7683,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2029,6.8405,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2030,6.9095,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2031,6.9761,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2032,7.0406,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2033,7.1037,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2034,7.1654,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2035,7.226,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2036,7.2858,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2037,7.345,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2038,7.4038,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2039,7.4623,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2040,7.5207,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2041,7.5789,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2042,7.6371,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2043,7.6953,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2044,7.7535,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2045,7.8118,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2046,7.8702,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2047,7.9289,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2048,7.9879,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2049,8.0472,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Other crop production,base,2050,8.107,4. Other crop production,4,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2017,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2018,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2019,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2020,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2021,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2022,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2023,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2024,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2025,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2026,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2027,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2028,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2029,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2030,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2031,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2032,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2033,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2034,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2035,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2036,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2037,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2038,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2039,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2040,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2041,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2042,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2043,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2044,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2045,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2046,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2047,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2048,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2049,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Sugar cane production,base,2050,0,5. Sugar cane production,5,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2017,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2018,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2019,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2020,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2021,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2022,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2023,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2024,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2025,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2026,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2027,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2028,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2029,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2030,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2031,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2032,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2033,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2034,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2035,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2036,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2037,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2038,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2039,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2040,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2041,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2042,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2043,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2044,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2045,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2046,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2047,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2048,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2049,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Raw cotton and ginning,base,2050,0,6. Raw cotton and ginning,6,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2017,1.7657,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2018,1.7985,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2019,1.8091,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2020,1.8009,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2021,1.65,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2022,1.7024,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2023,1.7261,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2024,1.7607,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2025,1.8058,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2026,1.829,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2027,1.8497,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2028,1.8689,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2029,1.8871,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2030,1.9044,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2031,1.9208,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2032,1.9367,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2033,1.9521,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2034,1.9671,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2035,1.9818,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2036,1.9962,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2037,2.0105,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2038,2.0246,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2039,2.0387,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2040,2.0527,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2041,2.0667,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2042,2.0807,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2043,2.0947,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2044,2.1088,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2045,2.1229,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2046,2.137,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2047,2.1512,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2048,2.1656,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2049,2.18,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
Other Agriculture,base,2050,2.1947,7. Other Agriculture,7,"Sector 1 - Agriculture, forestry and fishing (A)"
"Fishing, hunting and trapping",base,2017,1.3207,"8. Fishing, hunting and trapping",8,"Sector 1 - Agriculture, forestry and fishing (A)"
"Fishing, hunting and trapping",base,2018,1.3531,"8. Fishing, hunting and trapping",8,"Sector 1 - Agriculture, forestry and fishing (A)"
"Fishing, hunting and trapping",base,2019,1.3759,"8. Fishing, hunting and trapping",8,"Sector 1 - Agriculture, forestry and fishing (A)"
"Fishing, hunting and trapping",base,2020,1.4209,"8. Fishing, hunting and trapping",8,"Sector 1 - Agriculture, forestry and fishing (A)"
"Fishing, hunting and trapping",base,2021,1.2841,"8. Fishing, hunting and trapping",8,"Sector 1 - Agriculture, forestry and fishing (A)"
"Fishing, hunting and trapping",base,2022,1.3081,"8. Fishing, hunting and trapping",8,"Sector 1 - Agriculture, forestry and fishing (A)"
"Fishing, hunting and trapping",base,2023,1.3343,"8. Fishing, hunting and trapping",8,"Sector 1 - Agriculture, forestry and fishing (A)"
"Fishing, hunting and trapping",base,2024,1.3685,"8. Fishing, hunting and trapping",8,"Sector 1 - Agriculture, forestry and fishing (A)"
"Fishing, hunting and trapping",base,2025,1.3953,"8. Fishing, hunting and trapping",8,"Sector 1 - Agriculture, forestry and fishing (A)"
"Fishing, hunting and trapping",base,2026,1.4296,"8. Fishing, hunting and trapping",8,"Sector 1 - Agriculture, forestry and fishing (A)"
